wavelength, flux 
454.5,0.99
454.6,0.995
454.7,0.995
454.8,0.987
454.9,0.916
455,0.886
455.1,0.999
455.2,0.996
455.3,0.998
455.4,0.991
455.5,0.96
455.6,0.921
455.7,0.998
455.8,0.998
455.9,0.931
456,0.998
456.1,0.998
456.2,0.999
456.3,0.999
456.4,0.932
456.5,0.992
456.6,0.993
456.7,0.998
456.8,0.98
456.9,0.995
457,0.998
457.1,0.996
457.2,0.92
457.3,0.998
457.4,0.998
457.5,0.997
457.6,0.949
457.7,0.998
457.8,0.993
457.9,0.986
458,0.962
458.1,0.977
458.2,0.994
458.3,0.952
458.4,0.912
458.5,0.997
458.6,0.974
458.7,0.996
458.8,0.939
458.9,0.991
459,0.954
459.1,0.992
459.2,0.953
459.3,0.992
459.4,0.995
459.5,0.995
459.6,0.967
459.7,0.998
459.8,0.992
459.9,0.994
460,0.992
460.1,0.983
460.2,0.988
460.3,0.991
460.4,0.999
460.5,0.985
460.6,0.998
460.7,0.998
460.8,0.995
460.9,0.992
461,0.998
461.1,0.979
461.2,0.993
461.3,0.994
461.4,0.992
461.5,0.998
461.6,0.989
461.7,0.963
461.8,0.994
461.9,0.935
462,0.98
462.1,0.971
462.2,0.993
462.3,0.997
462.4,0.999
462.5,0.994
462.6,0.981
462.7,0.993
462.8,0.998
462.9,0.929
463,0.997
463.1,0.998
463.2,0.996
463.3,0.997
463.4,0.939
463.5,0.961
463.6,0.989
463.7,0.996
463.8,0.985
463.9,0.999
464,0.997
464.1,0.997
464.2,0.997
464.3,0.994
464.4,0.998
464.5,0.993
464.6,0.993
464.7,0.992
464.8,0.995
464.9,0.982
465,0.999
465.1,0.998
465.2,0.994
465.3,0.998
465.4,0.997
465.5,0.984
465.6,0.994
465.7,0.959
465.8,0.999
465.9,0.997
466,0.998
466.1,0.996
466.2,0.997
466.3,0.984
466.4,0.993
466.5,0.992
466.6,0.994
466.7,0.953
466.8,0.986
466.9,0.99
467,0.963
467.1,0.997
467.2,0.999
467.3,0.989
467.4,0.997
467.5,0.996
467.6,0.997
467.7,0.998
467.8,0.997
467.9,0.971
468,0.992
468.1,0.996
468.2,0.996
468.3,0.998
468.4,0.999
468.5,0.994
468.6,0.991
468.7,0.999
468.8,0.999
468.9,0.998
469,0.993
469.1,0.981
469.2,0.996
469.3,0.998
469.4,0.996
469.5,0.996
469.6,0.996
469.7,0.999
469.8,0.993
469.9,0.993
470,0.999
470.1,0.997
470.2,0.992
470.3,0.94
470.4,0.993
470.5,0.994
470.6,0.998
470.7,0.987
470.8,0.997
470.9,0.981
471,0.994
471.1,0.997
471.2,1
471.3,0.996
471.4,0.983
471.5,0.998
471.6,0.996
471.7,0.978
471.8,1.001
471.9,1.002
472,0.998
472.1,0.97
472.2,0.998
472.3,1.001
472.4,1.004
