wavelength, flux, error 
455.1,0.964,0.048
455.2,0.759,0.038
455.3,0.897,0.045
455.4,0.706,0.035
455.5,0.715,0.036
455.6,0.704,0.035
455.7,0.902,0.045
455.8,0.876,0.044
455.9,0.924,0.046
456,0.806,0.04
456.1,0.837,0.042
456.2,0.952,0.048
456.3,0.867,0.043
456.4,0.793,0.04
456.5,0.733,0.037
456.6,0.768,0.038
456.7,0.864,0.043
456.8,0.864,0.043
456.9,0.777,0.039
457,0.79,0.039
457.1,0.698,0.035
457.2,0.61,0.031
457.3,0.828,0.041
457.4,0.94,0.047
457.5,0.831,0.042
457.6,0.809,0.04
457.7,0.801,0.04
457.8,0.785,0.039
457.9,0.688,0.034
458,0.584,0.029
458.1,0.649,0.032
458.2,0.837,0.042
458.3,0.85,0.042
458.4,0.797,0.04
458.5,0.783,0.039
458.6,0.513,0.026
458.7,0.842,0.042
458.8,0.801,0.04
458.9,0.809,0.04
459,0.795,0.04
459.1,0.781,0.039
459.2,0.754,0.038
459.3,0.769,0.038
459.4,0.762,0.038
459.5,0.713,0.036
459.6,0.731,0.037
459.7,0.788,0.039
459.8,0.706,0.035
459.9,0.873,0.044
460,0.849,0.042
460.1,0.598,0.03
460.2,0.684,0.034
460.3,0.661,0.033
460.4,0.837,0.042
460.5,0.7,0.035
460.6,0.818,0.041
460.7,0.837,0.042
460.8,0.828,0.041
460.9,0.867,0.043
461,0.914,0.046
461.1,0.627,0.031
461.2,0.899,0.045
461.3,0.702,0.035
461.4,0.716,0.036
461.5,0.926,0.046
461.6,0.695,0.035
461.7,0.787,0.039
461.8,0.82,0.041
461.9,0.724,0.036
462,0.779,0.039
462.1,0.908,0.045
462.2,0.719,0.036
462.3,0.796,0.04
462.4,0.913,0.046
462.5,0.82,0.041
462.6,0.704,0.035
462.7,0.777,0.039
462.8,0.917,0.046
462.9,0.778,0.039
463,0.88,0.044
463.1,0.918,0.046
463.2,0.905,0.045
463.3,0.766,0.038
463.4,0.79,0.039
463.5,0.893,0.045
463.6,0.833,0.042
463.7,0.808,0.04
463.8,0.712,0.036
463.9,0.827,0.041
464,0.69,0.034
464.1,0.863,0.043
464.2,0.971,0.049
464.3,0.817,0.041
464.4,0.889,0.044
464.5,0.842,0.042
464.6,0.691,0.035
464.7,0.766,0.038
464.8,0.884,0.044
464.9,0.679,0.034
465,0.8,0.04
465.1,0.83,0.042
465.2,0.717,0.036
465.3,0.862,0.043
465.4,0.848,0.042
465.5,0.786,0.039
465.6,0.749,0.037
465.7,0.783,0.039
465.8,0.933,0.047
465.9,0.878,0.044
466,0.931,0.047
466.1,0.855,0.043
466.2,0.873,0.044
466.3,0.782,0.039
466.4,0.9,0.045
466.5,0.786,0.039
466.6,0.807,0.04
466.7,0.681,0.034
466.8,0.532,0.027
466.9,0.715,0.036
467,0.819,0.041
467.1,0.926,0.046
467.2,0.872,0.044
467.3,0.647,0.032
467.4,0.989,0.049
467.5,0.626,0.031
467.6,0.835,0.042
467.7,0.866,0.043
467.8,0.819,0.041
467.9,0.728,0.036
468,0.764,0.038
468.1,0.852,0.043
468.2,0.714,0.036
468.3,0.944,0.047
468.4,0.925,0.046
468.5,0.699,0.035
468.6,0.812,0.041
468.7,0.8,0.04
468.8,0.831,0.042
468.9,0.85,0.043
469,0.819,0.041
469.1,0.662,0.033
469.2,0.901,0.045
469.3,0.896,0.045
469.4,0.838,0.042
469.5,0.834,0.042
469.6,0.908,0.045
469.7,0.805,0.04
469.8,0.843,0.042
469.9,0.715,0.036
470,0.863,0.043
470.1,0.72,0.036
470.2,0.786,0.039
470.3,0.61,0.031
470.4,0.84,0.042
470.5,0.839,0.042
470.6,0.799,0.04
