wavelength, flux 
453.1,0.848
453.2,0.958
453.3,0.913
453.4,0.787
453.5,0.913
453.6,0.844
453.7,0.973
453.8,0.961
453.9,0.973
454,0.964
454.1,0.896
454.2,0.92
454.3,0.983
454.4,0.939
454.5,0.901
454.6,0.923
454.7,0.939
454.8,0.906
454.9,0.835
455,0.774
455.1,0.987
455.2,0.946
455.3,0.979
455.4,0.878
455.5,0.891
455.6,0.795
455.7,0.976
455.8,0.977
455.9,0.878
456,0.968
456.1,0.973
456.2,0.985
456.3,0.987
456.4,0.857
456.5,0.938
456.6,0.945
456.7,0.973
456.8,0.93
456.9,0.951
457,0.973
457.1,0.933
457.2,0.808
457.3,0.972
457.4,0.984
457.5,0.969
457.6,0.896
457.7,0.98
457.8,0.948
457.9,0.911
458,0.872
458.1,0.861
458.2,0.939
458.3,0.876
458.4,0.818
458.5,0.955
458.6,0.851
458.7,0.971
458.8,0.873
458.9,0.94
459,0.877
459.1,0.926
459.2,0.869
459.3,0.894
459.4,0.959
459.5,0.935
459.6,0.869
459.7,0.972
459.8,0.926
459.9,0.976
460,0.926
460.1,0.852
460.2,0.888
460.3,0.899
460.4,0.987
460.5,0.888
460.6,0.972
460.7,0.979
460.8,0.938
460.9,0.946
461,0.976
461.1,0.893
461.2,0.954
461.3,0.901
461.4,0.929
461.5,0.983
461.6,0.897
461.7,0.898
461.8,0.948
461.9,0.819
462,0.94
462.1,0.942
462.2,0.956
462.3,0.954
462.4,0.991
462.5,0.939
462.6,0.894
462.7,0.952
462.8,0.984
462.9,0.872
463,0.962
463.1,0.978
463.2,0.983
463.3,0.936
463.4,0.849
463.5,0.941
463.6,0.92
463.7,0.954
463.8,0.899
463.9,0.981
464,0.954
464.1,0.994
464.2,0.99
464.3,0.941
464.4,0.981
464.5,0.949
464.6,0.921
464.7,0.924
464.8,0.965
464.9,0.883
465,0.98
465.1,0.952
465.2,0.93
465.3,0.985
465.4,0.963
465.5,0.893
465.6,0.94
465.7,0.872
465.8,0.993
465.9,0.976
466,0.99
466.1,0.977
466.2,0.968
466.3,0.964
466.4,0.965
466.5,0.943
466.6,0.959
466.7,0.839
466.8,0.849
466.9,0.912
467,0.887
467.1,0.988
467.2,0.992
467.3,0.915
467.4,0.994
467.5,0.944
467.6,0.966
467.7,0.98
467.8,0.97
467.9,0.888
468,0.929
468.1,0.967
468.2,0.939
468.3,0.98
468.4,0.994
468.5,0.916
468.6,0.922
468.7,0.984
468.8,0.986
468.9,0.979
469,0.926
469.1,0.886
469.2,0.978
469.3,0.985
469.4,0.972
469.5,0.965
469.6,0.974
469.7,0.983
469.8,0.956
469.9,0.939
470,0.985
470.1,0.953
470.2,0.931
470.3,0.851
470.4,0.939
470.5,0.939
470.6,0.979
470.7,0.892
470.8,0.959
470.9,0.88
471,0.904
471.1,0.965
471.2,0.988
471.3,0.984
471.4,0.902
471.5,0.972
471.6,0.936
471.7,0.961
471.8,0.969
471.9,0.981
472,0.976
472.1,0.932
472.2,0.926
472.3,0.969
472.4,0.98
472.5,0.995
472.6,0.993
472.7,0.908
472.8,0.95
472.9,0.921
473,0.924
473.1,0.921
473.2,0.899
473.3,0.966
473.4,0.926
473.5,0.994
473.6,0.936
473.7,0.888
473.8,0.978
473.9,0.953
474,0.961
474.1,0.978
474.2,0.948
474.3,0.959
474.4,0.991
474.5,0.98
474.6,0.932
474.7,1.002
474.8,0.973
474.9,1.002
475,0.981
475.1,1.003
475.2,0.948
475.3,1.002
475.4,0.931
475.5,0.975
475.6,0.92
475.7,0.963
475.8,0.95
475.9,0.976
476,0.998
476.1,0.986
476.2,0.905
476.3,0.951
476.4,0.923
476.5,0.969
476.6,0.907
476.7,0.96
476.8,0.947
476.9,0.985
477,0.968
477.1,1
477.2,0.965
477.3,0.946
477.4,1.001
477.5,1.006
477.6,0.912
477.7,1.01
477.8,1.007
477.9,1
478,0.93
478.1,0.992
478.2,0.991
478.3,0.93
478.4,0.984
478.5,0.998
478.6,0.938
478.7,0.921
478.8,0.999
478.9,0.904
479,0.935
479.1,0.996
479.2,0.942
479.3,0.978
479.4,1.005
479.5,1.006
479.6,0.985
479.7,0.999
479.8,0.942
479.9,0.965
480,0.974
480.1,0.94
480.2,0.979
480.3,0.974
480.4,1.007
480.5,0.898
480.6,0.99
480.7,0.969
480.8,0.973
480.9,0.98
481,0.973
481.1,0.948
481.2,0.941
481.3,0.963
481.4,0.994
481.5,0.973
481.6,0.988
481.7,0.973
481.8,0.917
481.9,0.997
482,0.957
482.1,0.968
482.2,0.992
482.3,0.933
482.4,0.861
482.5,0.964
482.6,0.967
482.7,0.974
482.8,0.983
482.9,0.911
483,0.976
483.1,0.928
483.2,0.97
483.3,0.924
483.4,0.959
483.5,0.945
483.6,0.867
483.7,0.943
483.8,0.929
483.9,0.894
484,0.81
484.1,0.896
484.2,0.9
484.3,0.864
484.4,0.894
484.5,0.894
484.6,0.871
484.7,0.867
484.8,0.804
484.9,0.834
485,0.851
485.1,0.833
485.2,0.81
485.3,0.79
485.4,0.782
485.5,0.695
485.6,0.672
485.7,0.694
485.8,0.653
485.9,0.589
486,0.48
486.1,0.31
486.2,0.405
486.3,0.545
486.4,0.576
486.5,0.667
486.6,0.663
486.7,0.738
486.8,0.753
486.9,0.776
487,0.801
487.1,0.71
487.2,0.75
487.3,0.825
487.4,0.815
487.5,0.864
487.6,0.789
487.7,0.872
487.8,0.757
487.9,0.892
488,0.907
488.1,0.905
488.2,0.848
488.3,0.93
488.4,0.881
488.5,0.86
488.6,0.891
488.7,0.844
488.8,0.937
488.9,0.873
489,0.959
489.1,0.753
489.2,0.905
489.3,0.92
489.4,0.93
489.5,0.964
489.6,0.958
489.7,0.959
489.8,0.979
489.9,0.979
490,0.899
490.1,0.975
490.2,0.917
490.3,0.856
490.4,0.93
490.5,0.984
490.6,0.985
490.7,0.976
490.8,0.951
490.9,0.962
491,0.874
491.1,0.877
491.2,0.928
491.3,0.973
491.4,0.948
491.5,0.948
491.6,0.983
491.7,0.939
491.8,0.903
491.9,0.843
492,0.899
492.1,0.902
492.2,0.93
492.3,0.992
492.4,0.843
492.5,0.86
492.6,0.962
492.7,0.951
492.8,0.984
492.9,0.995
493,0.969
493.1,0.993
493.2,0.957
493.3,0.927
493.4,0.867
493.5,0.979
493.6,0.927
493.7,0.949
493.8,0.946
493.9,0.85
494,0.892
