wavelength, flux 
495.8,0.701
495.9,0.964
496,0.979
496.1,0.981
496.2,0.947
496.3,0.903
496.4,0.983
496.5,0.884
496.6,0.859
496.7,0.967
496.8,0.836
496.9,0.931
497,0.876
497.1,0.897
497.2,0.96
497.3,0.881
497.4,0.972
497.5,0.95
497.6,0.924
497.7,0.948
497.8,0.925
497.9,0.833
498,0.834
498.1,0.901
498.2,0.751
498.3,0.727
498.4,0.766
498.5,0.845
498.6,0.83
498.7,0.94
498.8,0.922
498.9,0.869
499,0.975
499.1,0.809
499.2,0.976
499.3,0.923
499.4,0.772
499.5,0.971
499.6,0.939
499.7,0.876
499.8,0.9
499.9,0.877
