Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
190.02,15.02,1.71,33.3,38.0
190.03,10.96,0.96,19.5,235.0
191.00,4.42,0.94,6.1,73.0
191.01,11.48,1.02,5.9,232.0
192.00,9.46,0.86,69.8,150.0
192.01,12.47,0.79,9.9,233.0
193.00,9.47,1.32,59.2,97.0
194.00,7.79,0.43,30.4,78.0
194.00,7.08,0.46,30.4,78.0
194.10,11.77,1.56,76.9,142.0
198.00,8.45,0.60,40.2,120.0
200.00,7.33,1.07,50.8,151.0
200.01,8.56,0.63,18.0,238.0
200.02,9.87,0.50,32.5,238.0
201.00,10.83,1.57,90.9,44.0
202.00,10.06,1.47,117.4,41.0
202.01,9.95,1.11,57.2,235.0
202.02,10.11,0.76,25.4,233.0
202.03,12.79,0.89,7.9,236.0
203.00,7.67,0.75,38.4,130.0
204.00,9.56,1.50,106.5,58.0
204.10,5.59,1.18,32.5,150.0
204.11,9.75,0.33,20.6,238.0
205.00,13.66,1.68,95.5,73.0
205.10,10.56,1.19,43.8,106.0
205.11,11.84,1.23,28.1,234.0
205.20,10.97,1.43,31.3,110.0
206.00,8.20,1.00,27.6,103.0
206.10,6.90,0.65,11.4,150.0
207.00,6.45,0.25,10.0,162.0
208.00,10.06,1.37,19.5,150.0
209.00,4.28,0.96,26.1,65.0
210.00,5.36,0.90,22.8,127.0
210.01,13.96,0.31,46.9,38.0
210.02,11.23,0.86,14.8,232.0
210.04,11.83,0.61,29.4,239.0
211.00,6.25,1.12,9.9,107.0
214.00,10.26,0.78,12.4,110.0
214.01,11.25,1.49,17.7,234.0
215.00,9.80,1.19,40.0,126.0
215.03,14.47,1.87,99.8,50.0
215.10,6.83,1.59,9.4,222.0
216.00,7.71,0.61,42.7,106.0
216.01,14.81,1.88,79.3,30.0
216.02,8.67,1.16,32.9,52.0
217.00,8.98,1.30,66.6,40.0
217.01,12.41,0.88,7.5,235.0
217.02,10.95,1.13,8.8,232.0
217.03,11.40,0.86,19.7,235.0
217.05,11.37,1.47,63.4,120.0
218.00,7.57,0.50,30.2,222.0
219.00,5.17,0.69,133.9,17.0
220.00,3.31,0.89,20.0,161.0
221.00,11.52,0.88,7.1,40.0
222.00,13.35,1.59,45.1,32.0
