time (years),flux (solar flux units)
2007.838,67.900
2007.841,67.600
2007.844,67.700
2007.847,67.400
2007.849,68.500
2007.852,68.100
2007.855,69.700
2007.858,69.500
2007.860,69.800
2007.863,69.000
2007.866,69.700
2007.869,69.900
2007.871,70.400
2007.874,69.200
2007.877,70.600
2007.880,69.800
2007.882,68.800
2007.885,69.500
2007.888,69.700
2007.890,69.100
2007.893,69.700
2007.896,70.000
2007.899,71.300
2007.901,70.700
2007.904,71.500
2007.907,71.400
2007.910,71.200
2007.912,71.200
2007.915,71.200
2007.918,71.900
2007.921,73.000
2007.923,72.600
2007.926,73.600
2007.929,75.300
2007.932,78.200
2007.934,82.200
2007.937,86.900
2007.940,88.900
2007.943,86.900
2007.945,93.400
2007.948,93.900
2007.951,93.800
2007.953,91.900
2007.956,88.900
2007.959,81.700
2007.962,79.500
2007.964,76.800
2007.967,74.500
2007.970,72.600
2007.973,71.000
2007.975,71.500
2007.978,71.400
2007.981,71.400
2007.984,72.000
2007.986,72.600
2007.989,72.100
2007.992,71.800
2007.995,72.700
2007.997,75.000
2008.000,76.700
2008.003,79.400
2008.006,79.600
2008.008,79.300
2008.011,79.000
2008.014,79.700
2008.016,79.200
2008.019,77.700
2008.022,75.500
2008.025,76.500
2008.027,75.700
2008.030,76.000
2008.033,75.700
2008.036,75.300
2008.038,75.600
2008.041,73.700
2008.044,72.900
2008.047,73.700
2008.049,71.100
2008.052,70.800
2008.055,70.200
2008.058,71.600
2008.060,70.300
2008.063,70.600
2008.066,71.300
2008.069,71.000
2008.071,72.500
2008.074,72.000
2008.077,71.300
2008.080,71.600
2008.082,72.700
2008.085,72.000
2008.088,71.100
2008.090,71.800
2008.096,71.300
2008.099,70.500
2008.101,71.600
2008.104,70.800
2008.107,70.900
2008.110,72.200
2008.112,72.600
2008.115,72.100
2008.118,72.100
2008.121,70.500
2008.123,70.600
2008.126,69.700
2008.129,70.300
2008.132,71.100
2008.134,71.200
2008.137,71.700
2008.140,70.900
2008.143,71.800
2008.145,72.400
2008.148,71.600
2008.151,70.700
2008.153,71.400
2008.156,70.700
2008.159,70.700
2008.162,70.000
2008.164,69.800
2008.167,68.600
2008.170,69.200
2008.173,68.400
2008.175,68.300
2008.178,69.300
2008.181,70.300
2008.184,70.500
2008.186,69.800
2008.189,69.500
2008.192,70.300
2008.195,70.200
2008.197,69.400
2008.200,69.500
2008.203,69.900
2008.206,69.500
2008.208,70.300
2008.211,69.800
2008.214,69.600
2008.216,69.000
2008.219,68.400
2008.222,68.200
2008.225,69.600
2008.227,72.000
2008.230,79.400
2008.233,88.600
2008.236,81.600
2008.238,84.800
2008.241,82.900
2008.244,82.600
2008.247,80.500
2008.249,79.200
2008.252,77.800
2008.255,75.900
2008.258,76.400
2008.260,73.000
2008.263,71.000
2008.266,69.400
2008.269,69.100
2008.271,69.800
2008.274,68.000
2008.277,67.900
2008.280,67.100
2008.282,68.200
2008.285,69.300
2008.288,68.500
2008.290,69.200
2008.293,69.500
2008.296,69.200
2008.299,70.200
2008.301,71.000
2008.304,70.800
2008.307,70.900
2008.310,71.300
2008.312,70.700
2008.315,70.400
2008.318,69.800
2008.321,69.000
2008.323,68.100
2008.326,68.500
2008.329,68.600
2008.332,67.000
2008.334,68.500
2008.337,68.100
2008.340,67.300
2008.343,68.300
2008.345,67.600
2008.348,67.200
2008.351,66.500
2008.353,66.400
2008.356,67.300
2008.359,67.400
2008.362,68.000
2008.364,68.000
2008.367,68.300
2008.370,69.000
2008.373,71.100
2008.375,71.600
2008.378,71.200
2008.381,71.600
2008.384,68.900
2008.386,68.600
2008.389,69.100
2008.392,69.300
2008.395,67.800
2008.397,68.500
2008.400,68.300
2008.403,68.000
2008.406,67.900
2008.408,67.800
2008.411,68.100
2008.414,67.100
2008.416,66.900
2008.419,66.600
2008.422,67.100
2008.425,66.300
2008.427,65.200
2008.430,66.400
2008.433,65.900
2008.436,65.600
2008.438,64.900
2008.441,66.000
2008.444,66.200
2008.447,65.700
2008.449,67.100
2008.452,66.500
2008.455,67.100
2008.458,66.500
2008.460,65.300
2008.463,65.900
2008.466,65.400
2008.469,64.900
2008.471,65.200
2008.474,64.800
2008.477,65.400
2008.480,65.300
2008.482,65.800
2008.485,65.900
2008.488,65.400
2008.490,66.100
2008.493,65.900
2008.496,66.600
2008.499,66.700
2008.501,65.600
2008.504,65.900
2008.507,65.500
2008.510,65.400
2008.512,65.100
2008.515,66.100
2008.518,65.500
2008.521,65.500
2008.523,66.000
2008.526,65.400
2008.529,65.700
2008.532,64.900
2008.534,65.200
2008.537,65.600
2008.540,65.700
2008.543,64.600
2008.545,65.000
2008.548,65.300
2008.551,66.400
2008.553,65.900
2008.556,66.200
2008.559,65.800
2008.562,65.500
2008.564,65.400
2008.567,65.800
2008.570,66.100
2008.573,66.300
2008.575,66.300
2008.578,66.000
2008.581,66.500
2008.584,65.500
2008.586,66.100
2008.589,66.200
2008.592,65.500
2008.595,66.200
2008.597,66.500
2008.600,67.000
2008.603,66.100
2008.606,65.500
2008.608,65.500
2008.611,65.600
2008.614,65.700
2008.616,65.200
2008.619,65.300
2008.622,65.900
2008.625,65.300
2008.627,66.200
2008.630,66.500
2008.633,66.200
2008.636,67.300
2008.638,65.900
2008.641,67.100
2008.644,67.600
2008.647,67.900
2008.649,67.100
2008.652,66.600
2008.655,66.900
2008.658,66.600
2008.660,66.100
2008.663,66.800
2008.666,67.100
2008.669,66.700
2008.671,65.800
2008.674,66.000
2008.677,66.200
2008.680,65.900
