x (pc),y (pc),z (pc)
-255.9174952,-2256.663677,-387.8031497
-1727.88046,-2252.631602,-0.990997929
766.7967701,-2252.450713,224.9188688
-33.74303829,-2247.893592,162.3323887
-26.15386108,-2236.473961,-139.9328327
1512.081718,-2232.495955,-139.8952833
-2462.172419,-2227.086344,13.90674281
3092.033628,-2225.126458,816.6739211
-3542.163509,-2224.580323,-277.8201905
355.1536524,-2217.298339,-443.8186082
112.7026055,-2217.123829,7.749246142
-4664.738237,-2216.976327,-49.57967928
-906.8038163,-2215.420372,-29.2475
-3234.743245,-2214.045766,-281.6691109
-2235.432275,-2207.51604,-228.5070558
-2681.916093,-2206.873048,608.0406424
-1304.302689,-2205.455402,-371.0552031
-1006.821941,-2202.135466,266.4675763
-1328.38876,-2186.5347,760.2698933
-93.06424781,-2184.001967,8.393616813
-775.0657696,-2173.03642,63.63780839
4392.271114,-2166.981518,-178.7360023
-1837.083559,-2163.151327,-385.2224478
4097.618983,-2161.343464,-221.7140052
-1276.205278,-2160.526332,-92.450309
4424.63459,-2153.260773,880.9527757
1945.137081,-2150.461245,-88.08614161
109.676433,-2150.19018,-7.891139479
-3642.147693,-2147.101774,-1375.365462
-154.3916686,-2143.383275,-16.50297307
-1502.872969,-2132.037846,88.81138481
-451.582848,-2119.073819,38.57567292
-201.3902096,-2114.727045,107.2404258
-665.2659997,-2102.275261,-399.9260891
12.46108405,-2099.879835,-18.69222945
-1976.409514,-2098.782157,-24.6554422
3403.755802,-2096.462056,-138.9002783
-441.2306564,-2093.789517,30.99945394
-2637.98737,-2091.592777,-128.1533849
-1645.179645,-2091.401402,-18.57713365
-2622.491075,-2085.276383,-252.5132982
-633.1081581,-2083.804316,-96.61071973
-953.0300406,-2081.598147,-52.75314575
-19.97764781,-2081.090447,168.5450837
-667.0707384,-2078.928625,-126.6546604
4094.101609,-2074.3616,323.3527012
15.19349255,-2072.636682,-337.5593878
1871.469938,-2060.327723,-141.4883222
-65.56104125,-2051.963685,-110.8277232
-1168.191336,-2051.383788,-78.72455028
-1197.870306,-2035.20443,-45.75652905
-4245.106966,-2030.27172,-244.9644667
-208.9799589,-2029.18447,-351.6216193
-1286.133832,-2023.498733,-41.43240379
-625.4382677,-2021.713642,-126.0988686
-2165.013408,-2018.907665,-148.4074946
1943.58065,-2016.154715,-56.70466593
-2744.140787,-2014.297427,-452.3861386
-174.4341088,-2014.032387,-374.6762404
-558.4369399,-2001.44495,-130.7298617
-2381.049025,-1999.354115,154.7826369
-1989.87493,-1996.833055,-105.3399838
337.4591414,-1978.375164,-618.1852782
2259.624623,-1974.671357,27.75958946
-3758.292026,-1971.474235,-8.147890075
1585.368448,-1968.280857,-663.5106259
-1007.870662,-1965.320901,-726.1786855
-741.973091,-1964.611739,-426.8789615
406.1334308,-1957.702535,49.56227662
-1162.668125,-1951.942759,-10.30997357
5145.100846,-1943.145459,46.07615328
-496.4391841,-1940.531679,-359.3187136
-777.7797273,-1937.718956,-6.924057518
-4280.69845,-1937.308422,-354.1198396
5424.549979,-1931.595361,235.2995555
-346.4917346,-1929.584491,335.8097215
-4254.12612,-1916.344085,39.9036744
-826.9372235,-1911.854594,435.1675983
4493.324337,-1910.080246,-414.2823356
-1285.506884,-1907.996537,-335.6281673
-579.6273226,-1907.77816,21.22873678
-570.8799319,-1907.67962,-104.3578967
